profile_id,layer_index,base_idx,top_idx,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,base_pressure_hpa,top_pressure_hpa,base_temperature_c,top_temperature_c,depth_m,delta_t_c,mean_gradient_c_100m,position_type,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991016_1200_12,0,4,5,1685.8,2559.9,1005.8,1879.9,827.0,743.0,-17.49999999999997,-16.5,874.1000000000001,0.9999999999999716,0.11440338634023241,HE,0,0.0,gap_v3
31004_19991016_1200_12,1,9,10,5300.8,5522.9,4620.8,4842.9,500.0,508.0,-30.09999999999997,-29.49999999999997,222.09999999999945,0.5999999999999979,0.27014858171994566,HE,0,0.0,gap_v3
31004_19991022_1200_12,0,0,2,680.0,1027.1,0.0,347.0999999999999,939.0,901.0,-13.5,-6.099999999999966,347.0999999999999,7.400000000000034,2.1319504465571986,G,0,0.0,gap_v3
31004_19991120_1200_12,0,0,2,680.0,817.1,0.0,137.10000000000002,929.0,914.0,-33.29999999999998,-27.299999999999983,137.10000000000002,6.0,4.3763676148796495,G,0,0.0,gap_v3
31004_19991121_1200_12,0,0,2,680.0,816.8,0.0,136.79999999999995,931.0,916.0,-30.69999999999999,-24.299999999999983,136.79999999999995,6.400000000000006,4.678362573099421,G,0,0.0,gap_v3
31004_19991119_1200_12,0,0,1,680.0,818.0,0.0,138.0,923.0,908.0,-30.09999999999997,-24.49999999999997,138.0,5.599999999999998,4.057971014492752,G,0,0.0,gap_v3
31004_19991119_1200_12,1,3,4,2649.3,2895.6,1969.3000000000002,2215.6,700.0,705.0,-36.29999999999998,-35.89999999999998,246.29999999999973,0.4000000000000057,0.16240357287860582,HE,0,0.0,gap_v3
31004_19991124_1200_12,0,0,1,680.0,799.6,0.0,119.60000000000002,940.0,925.0,-25.69999999999999,-25.09999999999997,119.60000000000002,0.6000000000000192,0.5016722408026916,G,0,0.0,gap_v3
31004_19991124_1200_12,1,4,5,1737.4,1968.8,1057.4,1288.8,828.0,805.0,-27.69999999999999,-27.299999999999983,231.39999999999986,0.4000000000000057,0.17286084701815294,HE,0,0.0,gap_v3
31004_19991124_1200_12,2,6,7,2195.2,2416.1,1515.1999999999998,1736.1,783.0,762.0,-27.49999999999997,-26.899999999999977,220.9000000000001,0.5999999999999943,0.2716161158895401,HE,0,0.0,gap_v3
31004_19991122_1200_12,0,0,3,680.0,1284.4,0.0,604.4000000000001,934.0,869.0,-32.49999999999997,-26.899999999999977,604.4000000000001,5.599999999999994,0.9265387160820637,G,0,0.0,gap_v3
31004_19991123_1200_12,0,3,5,1304.2,2234.8,624.2,1554.8000000000002,879.0,785.0,-34.69999999999999,-30.49999999999997,930.6000000000001,4.200000000000017,0.4513217279174744,HE,0,0.0,gap_v3
31004_19991123_1200_12,1,6,7,2465.6,2809.3,1785.6,2129.3,763.0,700.0,-30.49999999999997,-29.69999999999999,343.7000000000003,0.799999999999983,0.23276112889146996,HE,0,0.0,gap_v3
31004_19991128_1200_12,0,5,6,2839.0,3067.6,2159.0,2387.6,710.0,690.0,-28.299999999999983,-27.49999999999997,228.5999999999999,0.8000000000000114,0.34995625546807163,HE,0,0.0,gap_v3
31004_19991128_1200_12,1,8,9,5070.6,5486.4,4390.6,4806.4,500.0,505.0,-39.49999999999997,-39.099999999999966,415.7999999999993,0.4000000000000057,0.09620009620009773,HE,0,0.0,gap_v3
31004_19991126_1200_12,0,9,10,5070.6,5085.0,4390.6,4405.0,500.0,536.0,-42.69999999999999,-39.69999999999999,14.399999999999636,3.0,20.833333333333858,HE,0,0.0,gap_v3
31004_19991125_1200_12,0,0,2,680.0,817.1,0.0,137.10000000000002,929.0,914.0,-25.299999999999983,-21.899999999999977,137.10000000000002,3.4000000000000057,2.4799416484318053,G,0,0.0,gap_v3
31004_19991125_1200_12,1,5,7,2204.0,3107.8,1524.0,2427.8,773.0,691.0,-33.099999999999966,-28.69999999999999,903.8000000000002,4.399999999999977,0.4868333702146466,HE,0,0.0,gap_v3
31004_19991125_1200_12,2,8,9,5050.6,5113.4,4370.6,4433.4,500.0,534.0,-42.099999999999966,-38.89999999999998,62.79999999999927,3.1999999999999886,5.095541401273926,HE,0,0.0,gap_v3
31004_19991130_1200_12,0,0,2,680.0,816.8,0.0,136.79999999999995,931.0,916.0,-24.09999999999997,-22.899999999999977,136.79999999999995,1.1999999999999922,0.877192982456135,G,0,0.0,gap_v3
