profile_id,n_inversion_layers,has_G,has_E,has_HE,lowest_layer_index,strongest_layer_index,lowest_base_agl_m,lowest_top_agl_m,lowest_delta_t_c,strongest_delta_t_c,strongest_depth_m,pattern
31004_19991211_1200_12,1,True,False,False,0,0,0.0,2109.3,11.800000000000011,11.800000000000011,2109.3,G
31004_19991225_1200_12,0,False,False,False,,,,,,,,NONE
31004_19991212_1200_12,1,True,False,False,0,0,0.0,1301.8,18.0,18.0,1301.8,G
31004_19991226_1200_12,2,True,False,True,0,0,0.0,136.20000000000005,2.6000000000000227,2.6000000000000227,136.20000000000005,G+HE
31004_19991227_1200_12,2,True,False,True,0,0,0.0,136.70000000000005,9.400000000000006,9.400000000000006,136.70000000000005,G+HE
31004_19991230_1200_12,2,True,False,True,0,0,0.0,609.2,11.400000000000006,11.400000000000006,609.2,G+HE
31004_20000505_0000_00,1,False,False,True,0,0,1997.1999999999998,2210.3,0.6000000000000227,0.6000000000000227,213.10000000000036,HE
31004_20000605_0000_00,0,False,False,False,,,,,,,,NONE
31004_19991229_1200_12,1,True,False,False,0,0,0.0,601.7,4.199999999999989,4.199999999999989,601.7,G
31004_19991228_1200_12,2,True,False,True,0,0,0.0,369.29999999999995,9.599999999999994,9.599999999999994,369.29999999999995,G+HE
31004_20000529_0000_00,0,False,False,False,,,,,,,,NONE
31004_20000521_0000_00,0,False,False,False,,,,,,,,NONE
31004_19991231_1200_12,1,True,False,False,0,0,0.0,373.4000000000001,15.200000000000017,15.200000000000017,373.4000000000001,G
31004_20000531_0000_00,0,False,False,False,,,,,,,,NONE
31004_20000512_0000_00,0,False,False,False,,,,,,,,NONE
31004_20000429_2100_00,0,False,False,False,,,,,,,,NONE
31004_20000519_0000_00,0,False,False,False,,,,,,,,NONE
31004_20000530_0000_00,0,False,False,False,,,,,,,,NONE
31004_20000101_1200_12,1,True,False,False,0,0,0.0,370.5999999999999,9.400000000000006,9.400000000000006,370.5999999999999,G
31004_20000102_1200_12,1,True,False,False,0,0,0.0,597.0999999999999,24.0,24.0,597.0999999999999,G
31004_20000103_1200_12,1,True,False,False,0,0,0.0,759.3,16.600000000000023,16.600000000000023,759.3,G
31004_20000609_0000_00,0,False,False,False,,,,,,,,NONE
31004_20000616_0000_00,0,False,False,False,,,,,,,,NONE
31004_20000105_1200_12,1,True,False,False,0,0,0.0,2681.8,6.599999999999994,6.599999999999994,2681.8,G
31004_20000104_1200_12,1,True,False,False,0,0,0.0,604.5999999999999,12.599999999999996,12.599999999999996,604.5999999999999,G
31004_20000109_1200_12,1,False,True,False,0,0,144.70000000000005,1280.1,9.199999999999992,9.199999999999992,1135.3999999999999,E
31004_20000106_1200_12,2,True,False,True,0,0,0.0,2272.6,4.400000000000006,4.400000000000006,2272.6,G+HE
31004_20000110_1200_12,1,True,False,False,0,0,0.0,1499.6,8.0,8.0,1499.6,G
31004_20000108_1200_12,2,True,False,True,0,0,0.0,719.4000000000001,10.599999999999994,10.599999999999994,719.4000000000001,G+HE
31004_20000111_1200_12,2,True,False,True,0,1,0.0,143.39999999999998,3.400000000000002,6.199999999999992,689.1000000000001,G+HE
31004_20000112_1200_12,2,True,False,True,0,0,0.0,709.4000000000001,5.400000000000006,5.400000000000006,709.4000000000001,G+HE
