profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c,embedded_gap_count,embedded_gap_depth_total_m,method
31004_20000131_1200_12,2000-01-31 12:00:00,2000,1,12,0,HE,854.0,809.0,1473.3,1919.4,793.3,1239.4,446.10000000000014,2.5999999999999943,0.582828962116116,,0,0.0,height-primary gap-v3
31004_20000201_1200_12,2000-02-01 12:00:00,2000,2,12,0,G,934.0,925.0,680.0,759.6,0.0,79.60000000000002,79.60000000000002,2.8000000000000096,3.5175879396985037,,0,0.0,height-primary gap-v3
31004_20000202_1200_12,2000-02-02 12:00:00,2000,2,12,0,G,937.0,925.0,680.0,779.6,0.0,99.60000000000002,99.60000000000002,1.400000000000034,1.4056224899598733,,0,0.0,height-primary gap-v3
31004_20000203_1200_12,2000-02-03 12:00:00,2000,2,12,0,G,939.0,808.0,680.0,1929.6,0.0,1249.6,1249.6,10.599999999999994,0.8482714468629958,,0,0.0,height-primary gap-v3
31004_20000205_1200_12,2000-02-05 12:00:00,2000,2,12,0,G,943.0,859.0,680.0,1460.1,0.0,780.0999999999999,780.0999999999999,11.39999999999998,1.4613511088321989,,0,0.0,height-primary gap-v3
31004_20000206_1200_12,2000-02-06 12:00:00,2000,2,12,0,HE,902.0,810.0,1053.4,1944.2,373.4000000000001,1264.2,890.8,11.400000000000032,1.2797485406376328,,0,0.0,height-primary gap-v3
31004_20000206_1200_12,2000-02-06 12:00:00,2000,2,12,1,HE,500.0,524.0,5330.8,5369.7,4650.8,4689.7,38.899999999999636,2.799999999999983,7.1979434447301,,0,0.0,height-primary gap-v3
31004_20000207_1200_12,2000-02-07 12:00:00,2000,2,12,0,HE,902.0,810.0,1044.5,1935.5,364.5,1255.5,891.0,6.800000000000015,0.7631874298540982,,1,60.40000000000009,height-primary gap-v3
31004_20000208_1200_12,2000-02-08 12:00:00,2000,2,12,0,G,935.0,804.0,680.0,1935.3,0.0,1255.3,1255.3,5.199999999999992,0.4142436071058705,,0,0.0,height-primary gap-v3
31004_20000208_1200_12,2000-02-08 12:00:00,2000,2,12,1,HE,500.0,518.0,5240.8,5392.3,4560.8,4712.3,151.5,2.0,1.3201320132013201,,0,0.0,height-primary gap-v3
31004_20000209_1200_12,2000-02-09 12:00:00,2000,2,12,0,G,932.0,917.0,680.0,816.7,0.0,136.70000000000005,136.70000000000005,3.0,2.194586686174103,,0,0.0,height-primary gap-v3
